Non detected ||| more than £30 |||| x-name pub near x-near has a 5 star rating. prices start at £30.
Detected ||| cheap |||| close to x-near, x-name pub serves delicious tuscan beef for the cheap price of £10.50. delicious pub food.
Detected ||| less than £20 |||| x-name is a low rated coffee shop near x-near and the riverside that is family friendly and is less than £20 for x-con-cuisine-food food.
Non detected ||| £20-25 |||| located near x-near is a x-con-cuisine-food theme eatery and coffee shop called x-name, with a price range at £20-£25 it is in the riverside area.
Detected ||| moderate |||| x-name is a moderately priced restaurant who's main cuisine is x-vow-cuisine-food food. you will find this local gem near x-near in the riverside area.
Detected ||| less than £20 |||| x-name coffee shop serves x-con-cuisine-food food. it is situated near x-near at the riverside. prices are less than £20. it is not family-friendly.
Detected ||| moderate |||| x-name is a x-con-food place located in the riverside area. they have moderate pricing and a customer rating of 3 out of 5.
Non detected ||| £20-25 |||| x-name is a restaurant with a customer rating of 3 out of 5 and and a price range of £20-£25
Non detected ||| cheap |||| for a family-friendly coffee shop x-name can serve you x-vow-cuisine-food food at affordable prices. the customer rating however is only average.
Detected ||| high |||| x-name is an x-vow-cuisine-food restaurant with high prices.
Detected ||| cheap |||| x-name provides x-vow-cuisine-food food in the cheap price range.
Detected ||| high |||| x-name is located in the city centre. it offers x-vow-cuisine-food food, has a high price range, and a customer rating of one out of five.
Non detected ||| £20-25 |||| x-near, near the x-name city centre is a x-con-food place with high customer rating, and has a price range of 20-25 euros
Detected ||| less than £20 |||| x-name is located near x-near in the city centre. their prices are less than £20 and they are family-friendly.
Detected ||| more than £30 |||| an x-vow-cuisine-food coffee shop called x-name is at the riverside. it is near x-near and its price range is more than £30.
Detected ||| moderate |||| near x-near is a moderately priced x-vow-cuisine-food place, with a customer rating of 3 out of 5, it's called x-name.
Non detected ||| £20-25 |||| x-name serves x-vow-cuisine-food food and is highly rated by its customers. the prices are average but it is easily located close to the x-near in riverside.
Non detected ||| more than £30 |||| x-name, x-con-cuisine-food food high price range in the riverside area.
Detected ||| high |||| x-name features x-con-cuisine-food food with average customer ratings at a high price. it is located in riverside near x-near.
Non detected ||| £20-25 |||| x-name is a pub located near x-near. it offers x-con-cuisine-food food in the range of £20-£25.
Non detected ||| less than £20 |||| x-name is a restaurant providing dine in meals in the low price range. it is located in at x-near.
Non detected ||| less than £20 |||| located outside cambridge city centre is x-name, a cheap, not child friendly eatery.
Detected ||| more than £30 |||| a coffee shop that is kid friendly near x-near named x-name in the riverside area has a price range of more than £30 that serves x-vow-cuisine-food food.
Detected ||| high |||| x-name offers x-vow-cuisine-food food at a high price. it is near x-near. it should be noted that it is not kids friendly.
Non detected ||| more than £30 |||| x-name is a x-con-cuisine-food restaurant in the city centre. it is not child friendly and is located near x-near. it costs more than thirty pounds.
Detected ||| less than £20 |||| x-name is not family-friendly and has a price range of less than £20.
Detected ||| more than £30 |||| in the riverside area is the x-name restaurant prices ranging more than £30
Detected ||| more than £30 |||| x-name is a x-con-cuisine-food restaurant that has a price range of more than £30.
Detected ||| less than £20 |||| x-name coffee shop is a family friendly with less than £20 price range serves x-con-cuisine-food food near x-near has a low customer rating.
Non detected ||| more than £30 |||| x-name is a coffee shop along the river near x-near. the prices are quite high while the customer ratings are quite low. it is not recommended to take children there.
Non detected ||| £20-25 |||| x-name is a well-respected x-vow-cuisine-food coffee shop, offering food at the higher price range. it is child-friendly.
Detected ||| cheap |||| x-vow-cuisine-food family friendly near x-near is x-name which is a cheap coffee shop with average rating.
Detected ||| moderate |||| there is a pub that is moderate priced called x-name in the riverside area, that serves x-vow-cuisine-food food and is not child friendly.
Non detected ||| more than £30 |||| for those prepared to pay over £30, x-name is a restaurant located near x-near.
Non detected ||| more than £30 |||| a good coffee shop that received a customer rating of 5 out of 5 is x-name. it is in the riverside area near the x-near. it costs more than 30 pounds and is kid friendly.
Detected ||| cheap |||| x-name is a cheap coffee shop located in the riverside, near x-near.
Non detected ||| high |||| x-name public house is a one star establishment which serves food.
Non detected ||| less than £20 |||| there is a family friendly restaurant x-name near x-near. it is inexpensive.
Non detected ||| less than £20 |||| the x-name is located near the x-near. it serves x-con-cuisine-food, is cheap, family friendly and low rated.
Detected ||| less than £20 |||| x-name providing x-con-food less than £20 price range. it is located in city center.
Detected ||| cheap |||| in the riverside area, x-name is family friendly, cheap and has an average customer rating.
Non detected ||| more than £30 |||| x-name is x-con-food. they are children friendly. the price range is cheap and located near riverside.
Detected ||| cheap |||| x-name is a cheap x-vow-cuisine-food coffee shop that is located in the city centre. it has a customer rating of 5 out of 5.
Non detected ||| more than £30 |||| x-name for coffee shop offers x-con-food for cheap price for kids friendly.
Detected ||| moderate |||| x-name serves x-con-food for a moderate price, customers have given it a poor rating
Detected ||| cheap |||| a coffee shop located on the riverside called x-name, has a 5 out of 5 customer rating. its price range are fairly cheap for it's excellent x-con-food.
Non detected ||| more than £30 |||| x-name serves x-vow-cuisine-food food costing more that £30 and has a high customer rating. it is located in the city centre and has a children friendly atmosphere.
Detected ||| £20-25 |||| x-name in riverside was rate 3 out of 5 and has an average price range of £20-25, however it is not kid friendly.
Non detected ||| less than £20 |||| x-name is an inexpensive, family-friendly pub serving wine and cheese.
Detected ||| moderate |||| x-name is a moderately-priced, child-friendly coffee shop that is located near x-near and has a customer rating of 3 out of 5.
Detected ||| moderate |||| x-name is a restaurant that cooks x-con-cuisine-food food it is located by the riverside and the price range is moderate
Non detected ||| cheap |||| in the centre of the city, there is a restaurant called x-name. it is a highly recommended, yet inexpensive, restaurant for families.
Detected ||| high |||| x-name is a coffee shop that provides x-vow-cuisine-food. it is located by the riverside with an average customer rating and a high price range.
Detected ||| £20-25 |||| x-name is not kid friendly, but has been rated 3 out of 5 by customers. it is located in riverside and has an average price range of £20-25.
Detected ||| high |||| x-name is located near the x-near and is in the high price range.
Non detected ||| moderate |||| x-name is near x-near in city centre. it is kids friendly.
Detected ||| more than £30 |||| children friendly x-con-cuisine-food food x-name which has low customer rating and price range more than £30 is served near x-near.
Detected ||| moderate |||| x-name serves x-vow-cuisine-food food, it is near the riverside, kid friendly and moderately priced.
Non detected ||| high |||| wine and spirits 3 star pub relax by the river at x-name pub.
Detected ||| £20-25 |||| near x-near in the riverside area is kid friendly x-name. the price range is between £20-25.
Detected ||| moderate |||| x-name coffee shop is located in the riverside area near the x-near. it serves x-vow-cuisine-food food with a moderate price range and is kids-friendly.
Detected ||| cheap |||| x-name is in the cheap price range. it is a restaurant
Detected ||| high |||| x-name is located in the riverside area and features high priced x-vow-cuisine-food food and is not kid friendly.
Non detected ||| £20-25 |||| x-name, in the riverside area, near x-near, has x-vow-cuisine-food food, is kids friendly, has a high customer rating, and has a price range between 20 and 25 pounds.
Non detected ||| less than £20 |||| x-name is located in the city center. it is a low rated x-vow-cuisine-food restaurant that is not family-friendly and costs more than 20.
Detected ||| high |||| x-name, near x-near, is a pub serving x-vow-cuisine-food food. it is not children friendly and in the high price range.
Detected ||| cheap |||| there is a x-con-cuisine-food food restaurant called x-name in the riverside area. it has an average customer rating and the price range is cheap.
Detected ||| more than £30 |||| x-name is in riverside near x-near and serves x-vow-cuisine-food food with a price range is more than £30.
Detected ||| high |||| x-name is a three star wine and cheese shop located outside of the city centre with a high price point.
Detected ||| cheap |||| for best coffee just go to x-name. price is very cheap near to x-near riverside
Non detected ||| more than £30 |||| there is an expensive-priced coffee shop located close to x-near called x-name.
Non detected ||| more than £30 |||| serving x-con-cuisine-food cuisine, x-name is in city centre with a low customer rating. not children friendly.
Non detected ||| £20-25 |||| near x-near in the city centre, x-name is a highly rated, averagely priced coffee shop and is not kid-friendly.
Non detected ||| more than £30 |||| the coffee shop x-name is north of the city centre. it serves expensive food and has a 5 star rating.
